#HyperedgeIdentifier	NumBVisit	BVisitNodes	TraversedHedges	RestrictiveHedges
http://identifiers.org/reactome/R-HSA-2395412	1	http://pathwaycommons.org/pc2/Complex_94e1fd6a63771fdb15145e0923096894		http://identifiers.org/reactome/R-HSA-2396594;http://identifiers.org/reactome/R-HSA-2395801;http://identifiers.org/reactome/R-HSA-2424482;http://identifiers.org/reactome/R-HSA-2424484;http://identifiers.org/reactome/R-HSA-2424486
http://identifiers.org/reactome/R-HSA-68849	1	http://pathwaycommons.org/pc2/Complex_9178c5dabe7e93875c6ebf15c3d956df		http://identifiers.org/reactome/R-HSA-68919;http://identifiers.org/reactome/R-HSA-68944
http://identifiers.org/reactome/R-HSA-176942	1	http://pathwaycommons.org/pc2/Complex_b0ae7bc04ed4b173e0083c51e6868355		
http://identifiers.org/reactome/R-HSA-429978	1	http://pathwaycommons.org/pc2/Complex_9e4d4a0575671afd123a036ef8cb6905		http://identifiers.org/reactome/R-HSA-429860
http://identifiers.org/reactome/R-HSA-69019	4	http://pathwaycommons.org/pc2/Complex_b94164a0e7f59729417f681c0ce80850;http://pathwaycommons.org/pc2/Protein_6c94412ea284b9e7ccbca77c2d9108b8;http://pathwaycommons.org/pc2/Protein_79839c83eb0e63960ecc18d1516b95ef;http://pathwaycommons.org/pc2/Protein_64058eec6875adffebd63c50ec7a8870		
http://identifiers.org/reactome/R-HSA-165043	2	http://pathwaycommons.org/pc2/Complex_277abd8324bed17bfb95a2344201d7f3;http://pathwaycommons.org/pc2/Complex_feefb88b14854ac0daaad4113600cc65	http://identifiers.org/reactome/R-HSA-165047	http://identifiers.org/reactome/R-HSA-180739;http://identifiers.org/reactome/R-HSA-165055
http://identifiers.org/reactome/R-HSA-2990882	1	http://pathwaycommons.org/pc2/Complex_197451ca4bb4dbcf4e1a8023f14f101e		http://identifiers.org/reactome/R-HSA-2990880
http://identifiers.org/reactome/R-HSA-167477	7	http://pathwaycommons.org/pc2/Complex_e5538d9bbd38e4b45e5be2806a8b6f1f;http://pathwaycommons.org/pc2/Complex_3bc69a331a764ecae746656746050afb;http://pathwaycommons.org/pc2/Complex_7c5dcdb7457c23f4e8b0386ec46cfd19;http://pathwaycommons.org/pc2/Protein_c464cc2150ab29ace0df0fab455bfdd6;http://pathwaycommons.org/pc2/Complex_6d6dd771e9ffcc724ad46e963c602cb6;http://pathwaycommons.org/pc2/PhysicalEntity_0fb0ff5302354a7a6e13ef518f0725f0;http://pathwaycommons.org/pc2/Complex_b6dd4f8b8cd56121885aedba47fd18e2		http://identifiers.org/reactome/R-HSA-76576;http://identifiers.org/reactome/R-HSA-73758;http://identifiers.org/reactome/R-HSA-109637;http://identifiers.org/reactome/R-HSA-75869;http://identifiers.org/reactome/R-HSA-75873;http://identifiers.org/reactome/R-HSA-75949;http://identifiers.org/reactome/R-HSA-112383;http://identifiers.org/reactome/R-HSA-6810234;http://identifiers.org/reactome/R-HSA-75095;http://identifiers.org/reactome/R-HSA-111264;http://identifiers.org/reactome/R-HSA-167097;http://identifiers.org/reactome/R-HSA-9009533;http://identifiers.org/reactome/R-HSA-109639;http://identifiers.org/reactome/R-HSA-167136;http://identifiers.org/reactome/R-HSA-5691000;http://identifiers.org/reactome/R-HSA-6781818;http://identifiers.org/reactome/R-HSA-109636;http://identifiers.org/reactome/R-HSA-167121;http://identifiers.org/reactome/R-HSA-75850;http://identifiers.org/reactome/R-HSA-167113;http://identifiers.org/reactome/R-HSA-109638;http://identifiers.org/reactome/R-HSA-167117;http://identifiers.org/reactome/R-HSA-6805399;http://identifiers.org/reactome/R-HSA-167072;http://identifiers.org/reactome/R-HSA-167115;http://identifiers.org/reactome/R-HSA-112379;http://identifiers.org/reactome/R-HSA-167196;http://identifiers.org/reactome/R-HSA-167077
http://identifiers.org/reactome/R-HSA-167121	1	http://pathwaycommons.org/pc2/Complex_17092585d93b387a02f270ce5f54556b		http://identifiers.org/reactome/R-HSA-167113
http://identifiers.org/reactome/R-HSA-525833	1	http://pathwaycommons.org/pc2/Complex_91679def66edd9e8937ad5905b9b6af3		
