#Name	NumConnected
SYCP2	8514
SYCP3	8514
SYCP1	8514
CNOT6L	8514
SLC22A18	0
ACOX2	8514
ACOX3	8514
CFI	8514
SLC22A12	8514
SLC22A13	8515
SLC22A11	8514
NSMCE1	8521
NSMCE2	8521
NSMCE3	8521
OBSCN	8515
PFDN1	8514
PTK2	8514
PTK6	8514
RABGAP1	8514
PRKAA2	8514
PRKAA1	8514
ITGB3BP	8514
IGLV2-11	8514
MCL1	0
IGLV2-14	8514
SORBS1	8514
SORBS3	8514
ODC1	8514
IL18RAP	8514
SCARA5	8514
ATG16L1	8514
NIPAL3	8514
EOMES	8514
ARHGDIG	8514
ARHGDIB	8514
ANOS1	8514
NDEL1	8514
ARHGDIA	8514
NANP	0
NANS	2
MATN1	8514
MATN3	8514
MATN4	8514
CES1	0
CES3	8516
CES2	0
KBTBD13	8514
EBF1	8514
HBA1	8514
FFAR3	8514
UCP2	0
FFAR1	8514
BDH2	8515
FFAR4	8514
BDH1	0
DDX23	8514
DDX21	8514
DDX20	8514
ZNF157	8514
ZNF154	8514
ZNF155	8514
ZNF92	8514
ZNF99	8514
FLVCR1	0
AFF4	8514
RAET1E	8514
UBE2J1	8514
RAET1G	0
RAB3IP	8514
FBXO10	8514
FBXO11	8514
FBXO17	8514
FBXO15	8514
GGPS1	8514
SFTA3	8514
KCNB1	8514
CNGB1	8514
PARD6B	8514
PARD6A	8514
PLA2G6	8514
PLA2G7	8515
MARCKS	0
PLA2G3	0
ERBB2	8514
ERBB3	8514
ST8SIA5	8535
SHC1	8514
ERBB4	8514
SHC3	8514
OR2G3	8514
FPR1	8514
FPR2	8514
FPR3	8514
OR2G6	8514
HIST3H2BB	8514
FOXH1	8514
ELL	8514
IGKV1-5	8514
FKBP1B	8520
FKBP1A	8514
NPPA	2
FBLIM1	8514
TIMM8A	8514
TIMM8B	8514
DAXX	8514
CDC16	8514
GDA	8514
NT5C	0
NT5E	0
GALNT1	8514
UNC5B	8514
UNC5C	8514
VGF	8514
UNC5A	8514
UNC5D	8514
CCP110	8514
PKNOX1	8514
GNAQ	8514
GNAS	8514
MED13L	8514
PTCD3	8514
GNAZ	8514
GNAL	8514
HLTF	8514
CYP26C1	2
ASNA1	8515
RPL18A	8514
KRT3	54
KRT2	54
KRT1	54
FST	8514
KRT5	54
KRT4	54
KRT9	54
KRT8	54
DACT1	8514
RPS16	8514
VPS45	8514
PFKFB4	0
EIF3D	8514
EEF1AKMT2	8514
MAF1	8514
TAS2R30	8514
TAS2R31	8514
NMNAT2	8514
NAALAD2	8514
NMNAT1	0
ALOX12B	8516
RPS19	8514
TAS2R38	8514
TAS2R39	8514
EPB41L1	8514
PPCDC	8514
EPB41L3	8514
EPB41L2	8514
EPB41L5	8514
ACSS3	8514
ACSS2	8514
ACSS1	8514
KIDINS220	8514
PUDP	0
VPS4B	8514
SLC43A2	0
SLC43A1	0
DCAF13	8514
TAGAP	8515
