#Entity	NumDownstream
http://pathwaycommons.org/pc2/Protein_86d84343e4ab5b20d4caeb41b550d343	0
http://pathwaycommons.org/pc2/Complex_59c271c98ef716d42f6abc39a1066623	23218
http://pathwaycommons.org/pc2/Complex_3e72d12bfd8dfdba7f20677bb33ac012	4
http://pathwaycommons.org/pc2/Protein_66799f3d77daec08f15a599f646b1a1b	22565
http://pathwaycommons.org/pc2/Protein_91dbbc295d2b7ce3a9c19aeb6e37ed48	23203
http://pathwaycommons.org/pc2/Rna_49798bd563585ea323259186ba8bede4	5
http://pathwaycommons.org/pc2/Complex_29856cd272e27ad35b9f5b144bab08ef	23218
http://pathwaycommons.org/pc2/Protein_70c5b16584b9857bcaef8a28cc88e5c3	4
http://pathwaycommons.org/pc2/Protein_1248bbf9f3c47e8d4119bb1294479582	23220
http://pathwaycommons.org/pc2/Protein_e836426a09d57d681a1f1697db4f359d	213
http://pathwaycommons.org/pc2/Protein_e3134f903c0994aa734dcf6a7881d9f5	3
http://pathwaycommons.org/pc2/Protein_b407b30307a4b97c3da493d2883bb640	24350
http://pathwaycommons.org/pc2/Complex_a2fa4bfe38ec46c982340532a53e79dc	22768
http://pathwaycommons.org/pc2/Protein_4a4d54ff4bf154abeb1f209998f73cd7	23619
http://pathwaycommons.org/pc2/Complex_a5378238b0b06e676957ba7275133925	1
http://pathwaycommons.org/pc2/Protein_d2a31968efa4c71e69e9859e679d9132	22341
http://pathwaycommons.org/pc2/Protein_06dd4735c4d7041337765626e974b1ca	22909
