#Tail	Head	PosReg	NegReg	ID
http://pathwaycommons.org/pc2/Complex_00e10651e6fd27fb252d6957e23eb9c8;http://pathwaycommons.org/pc2/Protein_fa92e525bc3eb51cffd7786a1f19e317	http://pathwaycommons.org/pc2/Complex_6a20f467c6b5e1628aa98d2818c7a868	http://pathwaycommons.org/pc2/Complex_00e10651e6fd27fb252d6957e23eb9c8	None	http://identifiers.org/reactome/R-HSA-975147
http://pathwaycommons.org/pc2/Complex_00e8b9d7a367aeceb82006a2302ef38d	http://pathwaycommons.org/pc2/Protein_84cc623843b79bcf802a58a82b3e7241;http://pathwaycommons.org/pc2/Protein_86fea9631543db72915416397068b8c8	None	None	http://identifiers.org/reactome/R-HSA-5684006
http://pathwaycommons.org/pc2/Complex_00eef6bb7066481380b1bc186601fcc4	http://pathwaycommons.org/pc2/Complex_38b967e3554a14eae61d9811c8c61918	http://pathwaycommons.org/pc2/Protein_b1b2c034232e8a71fa2702e6dffd66d6;http://pathwaycommons.org/pc2/Protein_31a2c71cda131f8059c6e76baafc080f;http://pathwaycommons.org/pc2/Protein_dd5c5f665ef1502e48c38bb4fbb36cff	None	http://identifiers.org/reactome/R-HSA-5610766
http://pathwaycommons.org/pc2/Complex_00eef6bb7066481380b1bc186601fcc4	http://pathwaycommons.org/pc2/Protein_a2a7e3860fc21680f7185520a7759805;http://pathwaycommons.org/pc2/Protein_be8a8ae9e0f6c320d1c0e42f6041c5a3	http://pathwaycommons.org/pc2/Complex_fdaff29227297b5eeab23291f4ef8d22	None	http://identifiers.org/reactome/R-HSA-5635859
http://pathwaycommons.org/pc2/Complex_00fc74fe87720756c1df1083a3c10025;http://pathwaycommons.org/pc2/Complex_8553090636fd38882e556b488b005d68;http://pathwaycommons.org/pc2/Protein_4a238adca68aabe2fc70c34b08ce606b;http://pathwaycommons.org/pc2/Protein_6146a9f107b4d1c217e294fbe388c2a6;http://pathwaycommons.org/pc2/Protein_c4538ea60fb08f03486d076fc933cadb	http://pathwaycommons.org/pc2/Complex_3668ace4985dd8360e97fa815496568b	None	None	http://identifiers.org/reactome/R-HSA-450431
http://pathwaycommons.org/pc2/Complex_00fc74fe87720756c1df1083a3c10025;http://pathwaycommons.org/pc2/SmallMolecule_f867b749a6bbdff3cbe2a0a66f110c3c	http://pathwaycommons.org/pc2/Complex_87dce9a91d3915736be5f1a296a2e891;http://pathwaycommons.org/pc2/SmallMolecule_338b964744318e5ab77644623adb34df	http://pathwaycommons.org/pc2/Protein_76694f3ebccff3702c7cb3a58df74dd7	None	http://identifiers.org/reactome/R-HSA-450463
http://pathwaycommons.org/pc2/Complex_0105d9c6b054019f772f44e78959feea	http://pathwaycommons.org/pc2/Protein_065ef1babcb059797cd4abd76badb85e;http://pathwaycommons.org/pc2/Protein_b8a4b43d7b92723b0a0523c2230340bf	None	None	http://identifiers.org/reactome/R-HSA-139917
http://pathwaycommons.org/pc2/Complex_01243ac790e2860ef59f341eaa9fa2bb	http://pathwaycommons.org/pc2/Complex_3a03ac5b53fba7f1adc8d8aee4068ecf	None	None	http://identifiers.org/reactome/R-HSA-2247511
http://pathwaycommons.org/pc2/Complex_0126ec84049c3836a1cd88c5f39b129d	http://pathwaycommons.org/pc2/Complex_79b19d354590cc1219a7f429f77b8557;http://pathwaycommons.org/pc2/Complex_93714088bd124a7790b8b960f41624a9	http://pathwaycommons.org/pc2/Complex_0126ec84049c3836a1cd88c5f39b129d	None	http://identifiers.org/reactome/R-HSA-158744
http://pathwaycommons.org/pc2/Complex_013783e4d13544e72d4989738659d497;http://pathwaycommons.org/pc2/SmallMolecule_63c390b1caed4b1b9fcfee943b3f4155	http://pathwaycommons.org/pc2/Complex_03faf07360ee64cff6076bf86787cb81;http://pathwaycommons.org/pc2/PhysicalEntity_90d36c801d1d79c5c9ea2b54751d4e5c	http://pathwaycommons.org/pc2/Complex_013783e4d13544e72d4989738659d497	None	http://identifiers.org/reactome/R-HSA-6782820
http://pathwaycommons.org/pc2/Complex_0137a15e8530289a86615362bfff5bc9;http://pathwaycommons.org/pc2/Protein_1348b1c9f274c45463df366ad9432baf	http://pathwaycommons.org/pc2/Complex_c12419b3a8efec3cc5804dc376ade4af	None	None	http://identifiers.org/reactome/R-HSA-2327803
http://pathwaycommons.org/pc2/Complex_0137a15e8530289a86615362bfff5bc9;http://pathwaycommons.org/pc2/Protein_7cae7951b419b3f47df0838951252ab5	http://pathwaycommons.org/pc2/Complex_8cfb572c864c8f87fae29dd85061147f	None	None	http://identifiers.org/reactome/R-HSA-2426355
http://pathwaycommons.org/pc2/Complex_015924ec32699e7fca60ae6234203075;http://pathwaycommons.org/pc2/Complex_b5d89b1851d24b5255d5503157b03e31	http://pathwaycommons.org/pc2/Complex_0c8ea7a2354612cea54d07352b351920	None	None	http://identifiers.org/reactome/R-HSA-8954082
http://pathwaycommons.org/pc2/Complex_015924ec32699e7fca60ae6234203075;http://pathwaycommons.org/pc2/Dna_0ad8d551524f620c1eb305fb4750759d	http://pathwaycommons.org/pc2/Complex_406f237d9cb57fa4d61c875789f7140e	None	None	http://identifiers.org/reactome/R-HSA-9007522
http://pathwaycommons.org/pc2/Complex_015924ec32699e7fca60ae6234203075;http://pathwaycommons.org/pc2/Dna_26e6d7d07c15ef2390319e118be46590	http://pathwaycommons.org/pc2/Complex_a72f1bcc3ef6d162e5eea42d332a921e	None	None	http://identifiers.org/reactome/R-HSA-9007220
http://pathwaycommons.org/pc2/Complex_015924ec32699e7fca60ae6234203075;http://pathwaycommons.org/pc2/Dna_3b6373f4c1a3cc9c2ed4620022be11df	http://pathwaycommons.org/pc2/Complex_3b953d1c70b3b102ac94ec7053d27fff	None	None	http://identifiers.org/reactome/R-HSA-9007615
http://pathwaycommons.org/pc2/Complex_015924ec32699e7fca60ae6234203075;http://pathwaycommons.org/pc2/Dna_3d9f6d56ac237b8ce5c00142a5927505	http://pathwaycommons.org/pc2/Complex_c874ff8c4c8471b2d1b73f04e8e8a382	None	http://pathwaycommons.org/pc2/Protein_8221e0f286896e4b83d5429250a19b8a	http://identifiers.org/reactome/R-HSA-9007546
http://pathwaycommons.org/pc2/Complex_015924ec32699e7fca60ae6234203075;http://pathwaycommons.org/pc2/Dna_4ebc6115ebb60081695861e96bd97092	http://pathwaycommons.org/pc2/Complex_c96f61d57e23298427704dd2e56aff2b	None	None	http://identifiers.org/reactome/R-HSA-9007647
http://pathwaycommons.org/pc2/Complex_015924ec32699e7fca60ae6234203075;http://pathwaycommons.org/pc2/Dna_709e9743912dffc499dfafee170561fe	http://pathwaycommons.org/pc2/Complex_9379235502ccdd8c01accfd2af1da768	None	None	http://identifiers.org/reactome/R-HSA-9007606
http://pathwaycommons.org/pc2/Complex_015924ec32699e7fca60ae6234203075;http://pathwaycommons.org/pc2/Dna_b350e6c1672d374f6e7fdb3377e2ecdc	http://pathwaycommons.org/pc2/Complex_fe5c939c44906f111ad463caac88dcda	None	None	http://identifiers.org/reactome/R-HSA-9007631
http://pathwaycommons.org/pc2/Complex_015924ec32699e7fca60ae6234203075;http://pathwaycommons.org/pc2/Dna_d14deff20da369ef0bcbfc56ae4df708	http://pathwaycommons.org/pc2/Complex_5cf15d8c50c841a3f49bd32ee219b11c	None	http://pathwaycommons.org/pc2/Protein_8221e0f286896e4b83d5429250a19b8a	http://identifiers.org/reactome/R-HSA-9007591
